code,name,kana,market,industry,kana
1301,極洋,キョクヨウ,東証プライム,水産・農林業,キョクヨウ
1332,ニッスイ,ニッスイ,東証プライム,水産・農林業,ニッスイ
1333,マルハニチロ,マルハニチロ,東証プライム,水産・農林業,マルハニチロ
1375,ユキグニファクトリー,ユキグニファクトリー,東証プライム,水産・農林業,ユキグニファクトリー
1377,サカタのタネ,サカタノタネ,東証プライム,水産・農林業,サカタノタネ
1379,ホクト,ホクト,東証プライム,水産・農林業,ホクト
1414,ショーボンドホールディングス,ショーボンドホールディングス,東証プライム,建設業,ショーボンドホールディングス
1417,ミライト・ワン,ミライト・ワン,東証プライム,建設業,ミライト・ワン
1419,タマホーム,タマホーム,東証プライム,建設業,タマホーム
1429,日本アクア,ニホンアクア,東証プライム,建設業,ニホンアクア
1433,ベステラ,ベステラ,東証プライム,建設業,ベステラ
1515,日鉄鉱業,ニッテツコウギョウ,東証プライム,鉱業,ニッテツコウギョウ
1518,三井松島ホールディングス,ミツイマツシマホールディングス,東証プライム,その他製品,ミツイマツシマホールディングス
1605,ＩＮＰＥＸ,ＩＮＰＥＸ,東証プライム,鉱業,ＩＮＰＥＸ
1662,石油資源開発,セキユシゲンカイハツ,東証プライム,鉱業,セキユシゲンカイハツ
1663,Ｋ＆Ｏエナジーグループ,Ｋ＆Ｏエナジーグループ,東証プライム,鉱業,Ｋ＆Ｏエナジーグループ
167A,リョーサン菱洋ホールディングス,リョーサンヒシヨウホールディングス,東証プライム,卸売業,リョーサンヒシヨウホールディングス
1719,安藤・間,アンドウ・アイダ,東証プライム,建設業,アンドウ・アイダ
1720,東急建設,トウキュウケンセツ,東証プライム,建設業,トウキュウケンセツ
1721,コムシスホールディングス,コムシスホールディングス,東証プライム,建設業,コムシスホールディングス
1726,ビーアールホールディングス,ビーアールホールディングス,東証プライム,建設業,ビーアールホールディングス
1762,高松コンストラクショングループ,タカマツコンストラクショングループ,東証プライム,建設業,タカマツコンストラクショングループ
1766,東建コーポレーション,トウケンコーポレーション,東証プライム,建設業,トウケンコーポレーション
1780,ヤマウラ,ヤマウラ,東証プライム,建設業,ヤマウラ
1786,オリエンタル白石,オリエンタルシライシ,東証プライム,建設業,オリエンタルシライシ
1801,大成建設,タイセイケンセツ,東証プライム,建設業,タイセイケンセツ
1802,大林組,オオバヤシグミ,東証プライム,建設業,オオバヤシグミ
1803,清水建設,シミズケンセツ,東証プライム,建設業,シミズケンセツ
1808,長谷工コーポレーション,ハセコウコーポレーション,東証プライム,建設業,ハセコウコーポレーション
1812,鹿島建設,カジマケンセツ,東証プライム,建設業,カジマケンセツ
1813,不動テトラ,フドウテトラ,東証プライム,建設業,フドウテトラ
1814,大末建設,ダイスエケンセツ,東証プライム,建設業,ダイスエケンセツ
1815,鉄建建設,テッケンケンセツ,東証プライム,建設業,テッケンケンセツ
1820,西松建設,ニシマツケンセツ,東証プライム,建設業,ニシマツケンセツ
1833,奥村組,オクムラグミ,東証プライム,建設業,オクムラグミ
1835,東鉄工業,トウテツコウギョウ,東証プライム,建設業,トウテツコウギョウ
1852,淺沼組,アサヌマグミ,東証プライム,建設業,アサヌマグミ
1860,戸田建設,トダケンセツ,東証プライム,建設業,トダケンセツ
1861,熊谷組,クマガイグミ,東証プライム,建設業,クマガイグミ
1870,矢作建設工業,ヤハギケンセツコウギョウ,東証プライム,建設業,ヤハギケンセツコウギョウ
1871,ピーエス・コンストラクション,ピーエス・コンストラクション,東証プライム,建設業,ピーエス・コンストラクション
1873,日本ハウスホールディングス,ニッポンハウスホールディングス,東証プライム,建設業,ニッポンハウスホールディングス
1878,大東建託,ダイトウケンタク,東証プライム,不動産業,ダイトウケンタク
1879,新日本建設,シンニホンケンセツ,東証プライム,建設業,シンニホンケンセツ
1882,東亜道路工業,トウアドウロコウギョウ,東証プライム,建設業,トウアドウロコウギョウ
1885,東亜建設工業,トウアケンセツコウギョウ,東証プライム,建設業,トウアケンセツコウギョウ
1887,日本国土開発,ニホンコクドカイハツ,東証プライム,建設業,ニホンコクドカイハツ
